objid,RA,DEC,Z,nQ,PROB
G09_Y1_DS2_259,133.06879,0.39812,0.19886,3.0,0.9319999814033508
G09_Y1_DX1_242,134.3355,2.82115,0.23072,3.0,0.9449999928474426
G09_Y1_DX1_247,134.28375,2.93183,0.01409,3.0,0.925000011920929
G09_Y1_EN1_004,135.32929,1.22984,0.48686,3.0,0.9129999876022339
G09_Y1_EN1_329,135.11008,1.44247,0.19821,3.0,0.9559999704360962
G09_Y1_EN2_024,135.31221,1.26198,0.05268,3.0,0.9639999866485596
G09_Y1_ES1_006,135.39654,-0.27429,0.22804,3.0,0.9580000042915344
G09_Y1_ES1_008,135.44063,-0.29678,0.2618,3.0,0.949999988079071
G09_Y1_ES1_163,134.3035,-0.75772,0.03918,3.0,0.9670000076293945
G09_Y1_ES1_242,134.41879,0.22554,0.16977,3.0,0.9570000171661377
G09_Y1_EX1_090,136.00358,2.2725,0.27633,3.0,0.9710000157356262
G09_Y1_FN1_114,136.2975,1.02415,0.05176,3.0,0.9620000123977661
G09_Y1_FN2_259,135.73854,1.92415,0.0705,3.0,0.9240000247955322
G09_Y1_FS1_164,135.72675,-0.63663,0.24961,3.0,0.9739999771118164
G09_Y1_FS1_249,135.99929,0.0946,0.42975,3.0,0.9010000228881836
G09_Y1_FX1_007,137.73387,2.44659,0.27002,3.0,0.9039999842643738
G09_Y1_FX2_147,137.12263,2.11177,1.3E-4,3.0,0.9789999723434448
G09_Y1_FX2_202,136.58167,2.55848,0.19545,3.0,0.9570000171661377
G09_Y1_GN2_058,138.14533,0.47132,0.30636,3.0,0.9110000133514404
G09_Y1_GN2_260,137.10312,1.91617,0.14725,3.0,0.9800000190734863
G09_Y1_GS1_039,138.2815,-0.66673,0.16314,3.0,0.972000002861023
G09_Y1_GS1_064,138.1295,-0.94713,0.31612,3.0,0.9419999718666077
G09_Y1_GS1_136,137.52525,-0.58596,0.07006,3.0,0.9760000109672546
G09_Y1_GS1_162,137.30013,-0.54669,0.09419,3.0,0.9279999732971191
G09_Y1_GS2_298,137.83688,0.29473,0.47569,3.0,0.9369999766349792
G09_Y1_GX1_221,138.64508,2.56257,1.6E-4,3.0,0.9369999766349792
G09_Y1_HN1_369,139.49529,1.51354,1.8E-4,3.0,0.9700000286102295
G09_Y1_HN2_030,139.47796,0.76073,0.19756,3.0,0.9639999866485596
G09_Y1_HN2_056,139.43021,0.44128,0.19999,3.0,0.9729999899864197
G09_Y1_HN2_204,138.59833,1.11113,0.34021,3.0,0.9700000286102295
G09_Y1_HN2_276,138.54962,1.81736,0.4567,3.0,0.9039999842643738
G09_Y1_HN2_344,139.51171,1.95338,0.24371,3.0,0.9769999980926514
G09_Y1_HS1_004,139.45617,-0.28042,0.01787,3.0,0.9079999923706055
G09_Y1_HS1_006,139.59796,-0.30041,0.0556,3.0,0.9049999713897705
G09_Y1_HS1_012,139.70596,-0.38582,0.17472,3.0,0.9409999847412109
G09_Y1_HS1_154,138.5895,-0.61694,0.16224,3.0,0.9330000281333923
